0.01,-0.1,-0.411069904715054
0.01,-0.2,-0.196317351662141
0.01,-0.3,-0.0319855882170934
0.01,-0.4,0.0903337793744024
0.01,-0.5,0.160438124241454
0.02,-0.1,-0.30961296929749
0.02,-0.2,-0.0840618126126532
0.02,-0.3,0.0812457218126205
0.02,-0.4,0.201361554809747
0.02,-0.5,0.277792426811919
0.03,-0.1,-0.212420047075619
0.03,-0.2,0.00320606702089324
0.03,-0.3,0.169016817031161
0.03,-0.4,0.286107807083624
0.03,-0.5,0.365698876517061
0.04,-0.1,-0.12898312954552
0.04,-0.2,0.0745753968533181
0.04,-0.3,0.226775919680603
0.04,-0.4,0.341131115802634
0.04,-0.5,0.417891290004362
0.05,-0.1,-0.0629588089420776
0.05,-0.2,0.131273573616164
0.05,-0.3,0.275640111282015
0.05,-0.4,0.381006677839072
0.05,-0.5,0.453716766026799
0.06,-0.1,0.00951514782582938
0.06,-0.2,0.203289406073568
0.06,-0.3,0.330024375552851
0.06,-0.4,0.427012539584873
0.06,-0.5,0.499602768548634
0.07,-0.1,0.0660617669687026
0.07,-0.2,0.258237966083721
0.07,-0.3,0.36999581108138
0.07,-0.4,0.468400974693132
0.07,-0.5,0.540931524227228
0.08,-0.1,0.117352592100516
0.08,-0.2,0.302375302958741
0.08,-0.3,0.411394901610406
0.08,-0.4,0.501047820649767
0.08,-0.5,0.572362944351411
0.09,-0.1,0.160575008968611
0.09,-0.2,0.337391958850222
0.09,-0.3,0.43611275356678
0.09,-0.4,0.51754766547442
0.09,-0.5,0.585099199988909
0.1,-0.1,0.18966066826913
0.1,-0.2,0.353952224770689
0.1,-0.3,0.446188997132667
0.1,-0.4,0.521269396184384
0.1,-0.5,0.586209394485597
